player_Marco-Etcheverry_GP	1997
player_Marco-Etcheverry_GS	1997
player_Marco-Etcheverry_A	1997
player_Marco-Etcheverry_GWA	1997
player_Marco-Etcheverry_HmA	1997
player_Marco-Etcheverry_RdA	1997
player_Marco-Etcheverry_A.90min	1997
player_Marco-Etcheverry_GP	1998
player_Marco-Etcheverry_GS	1998
player_Marco-Etcheverry_A	1998
player_Marco-Etcheverry_GWA	1998
player_Marco-Etcheverry_HmA	1998
player_Marco-Etcheverry_RdA	1998
player_Marco-Etcheverry_A.90min	1998
player_Marco-Etcheverry_GP	1999
player_Marco-Etcheverry_GS	1999
player_Marco-Etcheverry_A	1999
player_Marco-Etcheverry_GWA	1999
player_Marco-Etcheverry_HmA	1999
player_Marco-Etcheverry_RdA	1999
player_Marco-Etcheverry_A.90min	1999
player_Marco-Etcheverry_GS	2000
player_Marco-Etcheverry_A	2000
player_Marco-Etcheverry_GWA	2000
player_Marco-Etcheverry_HmA	2000
player_Marco-Etcheverry_RdA	2000
player_Marco-Etcheverry_A.90min	2000
player_Marco-Etcheverry_GP	2001
player_Marco-Etcheverry_GS	2001
player_Marco-Etcheverry_A	2001
player_Marco-Etcheverry_GWA	2001
player_Marco-Etcheverry_RdA	2001
player_Marco-Etcheverry_A.90min	2001
player_Marco-Etcheverry_GP	2002
player_Marco-Etcheverry_A	2002
player_Marco-Etcheverry_GWA	2002
player_Marco-Etcheverry_HmA	2002
player_Marco-Etcheverry_RdA	2002
player_Marco-Etcheverry_A.90min	2002
player_Marco-Etcheverry_GP	2003
player_Marco-Etcheverry_GS	2003
player_Marco-Etcheverry_A	2003
player_Marco-Etcheverry_GWA	2003
player_Marco-Etcheverry_HmA	2003
player_Marco-Etcheverry_A.90min	2003
player_Carlos-Valderrama_GP	1997
player_Carlos-Valderrama_GS	1997
player_Carlos-Valderrama_A	1997
player_Carlos-Valderrama_RdA	1997
player_Carlos-Valderrama_A.90min	1997
player_Carlos-Valderrama_Club	1998
player_Carlos-Valderrama_GP	1998
player_Carlos-Valderrama_GS	1998
player_Carlos-Valderrama_A	1998
player_Carlos-Valderrama_GWA	1998
player_Carlos-Valderrama_HmA	1998
player_Carlos-Valderrama_RdA	1998
player_Carlos-Valderrama_A.90min	1998
player_Carlos-Valderrama_GP	1999
player_Carlos-Valderrama_GS	1999
player_Carlos-Valderrama_A	1999
player_Carlos-Valderrama_HmA	1999
player_Carlos-Valderrama_RdA	1999
player_Carlos-Valderrama_A.90min	1999
player_Carlos-Valderrama_Club	2000
player_Carlos-Valderrama_GP	2000
player_Carlos-Valderrama_GS	2000
player_Carlos-Valderrama_A	2000
player_Carlos-Valderrama_GWA	2000
player_Carlos-Valderrama_HmA	2000
player_Carlos-Valderrama_RdA	2000
player_Carlos-Valderrama_A.90min	2000
player_Preki_GP	1997
player_Preki_GS	1997
player_Preki_A	1997
player_Preki_GWA	1997
player_Preki_HmA	1997
player_Preki_RdA	1997
player_Preki_A.90min	1997
player_Preki_GP	1998
player_Preki_GS	1998
player_Preki_A	1998
player_Preki_GWA	1998
player_Preki_HmA	1998
player_Preki_RdA	1998
player_Preki_A.90min	1998
player_Preki_GP	1999
player_Preki_GS	1999
player_Preki_A	1999
player_Preki_GWA	1999
player_Preki_RdA	1999
player_Preki_A.90min	1999
player_Preki_GP	2000
player_Preki_GS	2000
player_Preki_A	2000
player_Preki_GWA	2000
player_Preki_HmA	2000
player_Preki_A.90min	2000
player_Preki_Club	2001
player_Preki_GP	2001
